recordid,datavalue,datasheetid,indicatorid,indicator,datacategory,unitid,unit,subgroupid,subgroup,timeperiodid,timeperiod,sourceid,source,source_catid,area_table_id,area_id,area_parent_id,area_lft,area_rgt,area_name,area_level,datasheet
40158,23.9,3,33,"HIV prevalence among men who have sex with men","HIV Prevalence and Epidemiology",1,Percent,503,Hamsafar,50,2000,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1580,ASIIND,12,9550,10849,India,2,"Men who have Sex with Men (MSM)"
40159,19,3,33,"HIV prevalence among men who have sex with men","HIV Prevalence and Epidemiology",1,Percent,583,"Major urban area",50,2000,742,"UNAIDS_Epidemiological fact sheets update, 2006",3,1580,ASIIND,12,9550,10849,India,2,"Men who have Sex with Men (MSM)"
40160,4,3,33,"HIV prevalence among men who have sex with men","HIV Prevalence and Epidemiology",1,Percent,1003,"Outside major urban area",50,2000,742,"UNAIDS_Epidemiological fact sheets update, 2006",3,1580,ASIIND,12,9550,10849,India,2,"Men who have Sex with Men (MSM)"
40161,4,3,33,"HIV prevalence among men who have sex with men","HIV Prevalence and Epidemiology",1,Percent,1328,"Stanley Medical College",50,2000,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1580,ASIIND,12,9550,10849,India,2,"Men who have Sex with Men (MSM)"
40228,14,3,33,"HIV prevalence among men who have sex with men","HIV Prevalence and Epidemiology",1,Percent,1,Total,50,2000,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1855,ASIIND014001,1854,10300,10301,"Mumbai City",4,"Men who have Sex with Men (MSM)"
63116,13,7,1518,"Estimated incidence of TB cases who are HIV-positive","HIV Prevalence and Epidemiology",37,"Per 100,000 population (Estimate)",1,Total,50,2000,853,"WHO_WHO (2011). Global Tuberculosis Control 2011.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
63297,17,7,1518,"Estimated incidence of TB cases who are HIV-positive","HIV Prevalence and Epidemiology",38,"Per 100,000 population (High estimate)",1,Total,50,2000,853,"WHO_WHO (2011). Global Tuberculosis Control 2011.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
63478,8.4,7,1518,"Estimated incidence of TB cases who are HIV-positive","HIV Prevalence and Epidemiology",39,"Per 100,000 population (Low estimate)",1,Total,50,2000,853,"WHO_WHO (2011). Global Tuberculosis Control 2011.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
88488,9.4,0,37,"HIV prevalence among sex workers","HIV Prevalence and Epidemiology",1,Percent,421,FSWs,50,2000,752,"UNAIDS_Report on the Global AIDS Epidemic, 2006",3,1580,ASIIND,12,9550,10849,India,2,"Sex Workers (SW)"
88489,26,0,37,"HIV prevalence among sex workers","HIV Prevalence and Epidemiology",1,Percent,1003,"Outside major urban area",50,2000,742,"UNAIDS_Epidemiological fact sheets update, 2006",3,1580,ASIIND,12,9550,10849,India,2,"Sex Workers (SW)"
88490,9,0,37,"HIV prevalence among sex workers","HIV Prevalence and Epidemiology",1,Percent,1,Total,50,2000,752,"UNAIDS_Report on the Global AIDS Epidemic, 2006",3,1580,ASIIND,12,9550,10849,India,2,"Sex Workers (SW)"
88497,9.7,0,37,"HIV prevalence among sex workers","HIV Prevalence and Epidemiology",1,Percent,421,FSWs,50,2000,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1584,ASIIND002003,1581,10842,10843,Visakhapatnam,4,"Sex Workers (SW)"
88499,42,0,37,"HIV prevalence among sex workers","HIV Prevalence and Epidemiology",1,Percent,554,"Kakinada FSWs",50,2000,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1585,ASIIND002004,1581,10840,10841,"East Godavari",4,"Sex Workers (SW)"
88517,58.7,0,37,"HIV prevalence among sex workers","HIV Prevalence and Epidemiology",1,Percent,421,FSWs,50,2000,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1855,ASIIND014001,1854,10300,10301,"Mumbai City",4,"Sex Workers (SW)"
88518,58.7,0,37,"HIV prevalence among sex workers","HIV Prevalence and Epidemiology",1,Percent,482,"Gaurabai STD clinic FSWs",50,2000,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1855,ASIIND014001,1854,10300,10301,"Mumbai City",4,"Sex Workers (SW)"
88519,59,0,37,"HIV prevalence among sex workers","HIV Prevalence and Epidemiology",1,Percent,583,"Major urban area",50,2000,742,"UNAIDS_Epidemiological fact sheets update, 2006",3,1855,ASIIND014001,1854,10300,10301,"Mumbai City",4,"Sex Workers (SW)"
94632,26.7,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,581,"Madras Drug Addiction Center",50,2000,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,2019,ASIIND023001,2018,9972,9973,Chennai,4,"People Who Inject Drugs (PWID)"
94653,8,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,1,Total,50,2000,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1918,ASIIND018,1580,10157,10174,Nagaland,3,"People Who Inject Drugs (PWID)"
94698,64.3,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,1,Total,50,2000,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1890,ASIIND015,1580,10209,10230,Manipur,3,"People Who Inject Drugs (PWID)"
94709,23.7,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,1871,"Major urban area (1)",50,2000,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1855,ASIIND014001,1854,10300,10301,"Mumbai City",4,"People Who Inject Drugs (PWID)"
94762,9.6,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,95,"Civil Hospital",50,2000,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1580,ASIIND,12,9550,10849,India,2,"People Who Inject Drugs (PWID)"
94763,5,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,111,"DDU Hospital",50,2000,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1580,ASIIND,12,9550,10849,India,2,"People Who Inject Drugs (PWID)"
94764,44,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,115,"District Hospital",50,2000,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1580,ASIIND,12,9550,10849,India,2,"People Who Inject Drugs (PWID)"
94765,64.4,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,544,"J. N. Hospital",50,2000,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1580,ASIIND,12,9550,10849,India,2,"People Who Inject Drugs (PWID)"
94766,24,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,583,"Major urban area",50,2000,742,"UNAIDS_Epidemiological fact sheets update, 2006",3,1580,ASIIND,12,9550,10849,India,2,"People Who Inject Drugs (PWID)"
94767,75.6,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,909,"NGO center",50,2000,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1580,ASIIND,12,9550,10849,India,2,"People Who Inject Drugs (PWID)"
94768,4.2,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,910,NIMHANS,50,2000,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1580,ASIIND,12,9550,10849,India,2,"People Who Inject Drugs (PWID)"
